Localidad;Departamento;Provincia;POBLACION CENSO 2010;Estado
Barrio El Pilar;Bariloche;Rio Negro;577;Conectado
Barrio El Portal cambia por Ing. Fronteritas;Famaillá;Tucuman;;Conectado
Barrio El Taladro;Cañuelas;Buenos Aires;172;Conectado
Barrio Jocoli II;Lavalle;Mendoza;175;Conectado
Barrio Justo P. Castro Iv;Caucete;San Juan;631;Conectado
Barrio La Gloria;General Pueyrredón;Buenos Aires;435;Conectado
Barrio La Palmera;Lavalle;Mendoza;146;Conectado
Barrio La Pega;Lavalle;Mendoza;420;Conectado
Barrio La Union;El Carmen;Jujuy;751;Conectado
Barrio Lomas Altas;Chascomús;Buenos Aires;64;Conectado
Barrio Martinez Saravia;Gral.J. de San Martín;Salta;13774;Conectado
Barrio Mitre;;Santa Fe;835;Conectado
Barrio Sadop;San Martín;San Juan;771;Conectado
Barrio Santa Paula;General Pueyrredón;Buenos Aires;675;Conectado
Barrio Virgen del Rosario;Lavalle;Mendoza;226;Conectado
Bartolome de las Casas;Patiño;Formosa;1167;Conectado
Basavilbaso;Uruguay;Entre Rios;9822;Conectado
Belen;Belén;Catamarca;12826;Conectado
Bell Ville;Unión;Cordoba;34765;Conectado
Bella Italia;Castellanos;Santa Fe;1122;Conectado
Bella Vista;Bella Vista;Corrientes;29827;Conectado
Bellocq;Carlos Casares;Buenos Aires;556;Conectado
Beltran;Robles;Santiago del Estero;6698;Conectado
Benavidez;Tigre;Buenos Aires;35870;Conectado
Benito Juarez;Benito Juarez;Buenos Aires;14572;Conectado
Berdier;Salto;Buenos Aires;188;Conectado
Bermudez;Lincoln;Buenos Aires;73;Conectado
Bernardo de Irigoyen;Gral. Manuel Belgrano;Misiones;7404;Conectado
Berrotaran;Río Cuarto;Cordoba;7120;Conectado
Berutti;Trenque Lauquen;Buenos Aires;1137;Conectado
Betbeder;Nogoyá;Entre Rios;145;Conectado
Bocayuva;Pellegrini;Buenos Aires;82;Conectado
Bonpland;Paso de Los Libres;Corrientes;1055;Conectado
Bouwer;Santa María;Cordoba;656;Conectado
Bovril;La Paz;Entre Rios;8624;Conectado
Bowen;General Alvear;Mendoza;5067;Conectado
Bragado;Bragado;Buenos Aires;33670;Conectado
Bulnes;Río Cuarto;Cordoba;1089;Conectado
Bustinza;Iriondo;Santa Fe;1108;Conectado
Buta Ranquil;Pehuenches;Neuquen;3359;Conectado
Caa - Yari;Leandro N. Alem;Misiones;127;Conectado
Cachi;Cachi;Salta;2623;Conectado
Cafayate;Cafayate;Salta;15479;Conectado
Caimancito;Ledesma;Jujuy;5549;Conectado
Caleta Olivia;Deseado;Santa Cruz;64020;Conectado
Calilegua;Ledesma;Jujuy;6237;Conectado
Campamento Vespucio;Gral.J. de San Martín;Salta;1628;Conectado
Campamento Vialidad Nacional;Caleu Caleu;La Pampa;2429;Conectado
Campana;Campana;Buenos Aires;92462;Conectado
Campanas;Famatina;La Rioja;856;Conectado
Campichuelo;Gral.J. de San Martín;Salta;362;Conectado
Campo de Herrera;Famaillá;Tucuman;942;Conectado
Campo Gallo;Alberdi;Santiago del Estero;6549;Conectado
Campo Grande;Cainguás;Misiones;6973;Conectado
Campo Ramon;Oberá;Misiones;1312;Conectado
Campo Viera;Oberá;Misiones;7539;Conectado
Canal 5 Puerto Iguazu;Puerto Iguazu;Misiones;;Conectado
Cangrejillos;Yavi;Jujuy;194;Conectado
Cañada de Gomez;Iriondo;Santa Fe;29468;Conectado
Cañada Escobar;Banda;Santiago del Estero;284;Conectado
Cañada Ombu;Vera;Santa Fe;519;Conectado
Cañada Seca;General Villegas;Buenos Aires;742;Conectado
Cañada Xii;Formosa;Formosa;0;Conectado
Cañadon Seco;Deseado;Santa Cruz;1088;Conectado
Cañuelas;Cañuelas;Buenos Aires;33256;Conectado
Capiazuti;Gral.J. de San Martín;Salta;246;Conectado
Capilla de Los Remedios;Río Primero;Cordoba;837;Conectado
Capilla del Señor;Exaltacion de La Cruz;Buenos Aires;10321;Conectado
Capitan Bermudez;San Lorenzo;Santa Fe;30781;Conectado
Capitan Juan Page;Rivadavia;Salta;225;Conectado
Capitan Sarmiento;Capitán Sarmiento;Buenos Aires;13926;Conectado
Carboncito;Gral.J. de San Martín;Salta;565;Conectado
Carcaraña;San Lorenzo;Santa Fe;17148;Conectado
Cardenal Cagliero;Patagones;Buenos Aires;93;Conectado
Carhue;Adolfo Alsina;Buenos Aires;9906;Conectado
Carlos Keen;Luján;Buenos Aires;593;Conectado
Carlos Maria Naon;9 de Julio;Buenos Aires;506;Conectado
Carlos Tejedor;Carlos Tejedor;Buenos Aires;5186;Conectado
Carmen de Areco;Carmen de Areco;Buenos Aires;13094;Conectado
Carmen de Patagones;Patagones;Buenos Aires;21365;Conectado
Carmensa;General Alvear;Mendoza;965;Conectado
Carnerillo;Juárez Celman;Cordoba;1964;Conectado
Caseros;Uruguay;Entre Rios;2017;Conectado
Caseros Centro;Santa María;Cordoba;260;Conectado
Casira;Santa Catalina;Jujuy;166;Conectado
Caspichango;Santa María;Catamarca;39;Conectado
Castilla;Chacabuco;Buenos Aires;714;Conectado
Catriel;General Roca;Rio Negro;18806;Conectado
Catrilo;Catriló;La Pampa;4121;Conectado
Caucete;Caucete;San Juan;30212;Conectado
Cazon;Saladillo;Buenos Aires;218;Conectado
Centenario;Confluencia;Neuquen;35431;Conectado
Ceres;San Cristóbal;Santa Fe;14941;Conectado
Cerrito;Paraná;Entre Rios;5480;Conectado
Cerro Azul;Leandro N. Alem;Misiones;3174;Conectado
Cerro Negro;Tinogasta;Catamarca;24;Conectado
Chacabuco;Chacabuco;Buenos Aires;39801;Conectado
Chajan;Río Cuarto;Cordoba;795;Conectado
Chajari;Federación;Entre Rios;35058;Conectado
Chalican;Ledesma;Jujuy;1104;Conectado
Chamical;Chamical;La Rioja;13294;Conectado
Chañar Punco;Santa María;Catamarca;1752;Conectado
Chañarmuyo;Famatina;La Rioja;257;Conectado
Charadai;Tapenagá;Chaco;1502;Conectado
Chascomus;Chascomús;Buenos Aires;35187;Conectado
Chasico;Tornquist;Buenos Aires;211;Conectado
Chaupi Pozo;Banda;Santiago del Estero;403;Conectado
Chepes;Rosario Vera Peñaloza;La Rioja;11354;Conectado
